Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Crop Flw(M)(lb/s),Speed(mph),Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-93.53663950,44.07693950,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,414,14.99,5.545,1.000,270.00,1146.0,On,10/14/2022,0.00,2,19.37,17.31,0.676,1113.1,9072.5,8657.0,162.01,154.59,6.870,10/14/2022
-93.53667580,44.07698000,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,415,14.99,4.495,1.000,91.00,1144.7,On,10/14/2022,0.00,3,19.22,17.17,3.726,1103.7,11097,10609,198.16,189.44,5.570,10/14/2022
-93.53665810,44.07698000,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,416,14.99,4.659,1.000,90.00,1144.8,On,10/14/2022,0.00,3,19.16,19.59,3.732,1259.5,12218,11689,218.18,208.74,5.773,10/14/2022
-93.53663820,44.07698010,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,417,14.99,5.217,1.000,90.00,1144.9,On,10/14/2022,0.00,3,19.10,21.70,3.718,1395.2,12087,11572,215.85,206.65,6.464,10/14/2022
-93.53661740,44.07698010,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,418,14.99,5.446,1.000,90.00,1145.0,On,10/14/2022,0.00,3,19.05,23.79,3.748,1529.6,12692,12159,226.65,217.13,6.749,10/14/2022
-93.53659640,44.07697970,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,419,14.99,5.512,1.000,93.00,1145.0,On,10/14/2022,0.00,3,19.00,25.35,3.730,1629.6,13362,12809,238.61,228.72,6.830,10/14/2022
-93.53657530,44.07697940,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,420,14.99,5.545,1.000,92.00,1145.3,On,10/14/2022,0.00,3,18.96,26.30,3.748,1690.8,13781,13218,246.09,236.03,6.870,10/14/2022
-93.53655410,44.07697930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,421,14.99,5.545,1.000,91.00,1145.3,On,10/14/2022,0.00,3,18.87,26.91,3.740,1729.7,14099,13537,251.76,241.73,6.870,10/14/2022
-93.53653280,44.07697930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,422,14.99,5.610,1.000,90.00,1145.3,On,10/14/2022,0.00,3,18.75,27.39,3.760,1760.6,14183,13637,253.26,243.52,6.952,10/14/2022
-93.53651140,44.07697920,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,423,14.99,5.610,1.000,90.00,1145.3,On,10/14/2022,0.00,3,18.66,27.78,3.742,1786.2,14388,13850,256.94,247.32,6.952,10/14/2022
-93.53649030,44.07697910,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,424,14.99,5.545,1.000,90.00,1145.7,On,10/14/2022,0.00,3,18.57,27.98,3.776,1798.9,14663,14130,261.83,252.32,6.870,10/14/2022
-93.53646920,44.07697880,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,425,14.99,5.545,1.000,91.00,1145.7,On,10/14/2022,0.00,3,18.51,27.70,3.744,1780.8,14515,13998,259.19,249.96,6.870,10/14/2022
-93.53644810,44.07697840,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,426,14.99,5.512,1.000,91.00,1145.9,On,10/14/2022,0.00,3,18.45,27.07,3.746,1740.5,14271,13773,254.84,245.95,6.830,10/14/2022
-93.53642710,44.07697830,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,427,14.99,5.512,1.000,90.00,1146.0,On,10/14/2022,0.00,3,18.37,26.79,3.760,1722.3,14122,13643,252.18,243.63,6.830,10/14/2022
-93.53640610,44.07697820,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,428,14.99,5.512,1.000,91.00,1146.0,On,10/14/2022,0.00,3,18.31,27.28,3.764,1753.9,14381,13902,256.80,248.26,6.830,10/14/2022
-93.53638500,44.07697800,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,429,14.99,5.545,1.000,91.00,1146.2,On,10/14/2022,0.00,3,18.30,28.33,3.762,1821.1,14843,14352,265.06,256.28,6.870,10/14/2022
-93.53636390,44.07697780,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,430,14.99,5.545,1.000,91.00,1146.3,On,10/14/2022,0.00,3,18.30,29.34,3.782,1886.3,15375,14865,274.55,265.44,6.870,10/14/2022
-93.53634290,44.07697760,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,431,14.99,5.512,1.000,91.00,1146.3,On,10/14/2022,0.00,3,18.31,29.73,3.760,1911.1,15670,15149,279.82,270.51,6.830,10/14/2022
-93.53632190,44.07697730,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,432,14.99,5.512,1.000,92.00,1146.3,On,10/14/2022,0.00,3,18.31,29.38,3.760,1888.9,15488,14973,276.57,267.38,6.830,10/14/2022
-93.53630100,44.07697720,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,433,14.99,5.479,1.000,91.00,1146.3,On,10/14/2022,0.00,3,18.31,28.63,3.750,1840.6,15182,14677,271.11,262.09,6.789,10/14/2022
-93.53628000,44.07697710,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,434,14.99,5.512,1.000,90.00,1146.5,On,10/14/2022,0.00,3,18.31,27.86,3.742,1790.9,14684,14196,262.21,253.49,6.830,10/14/2022
-93.53625910,44.07697710,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,435,14.99,5.479,1.000,90.00,1146.7,On,10/14/2022,0.00,3,18.31,27.19,3.748,1747.9,14417,13938,257.45,248.89,6.789,10/14/2022
-93.53623810,44.07697690,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,436,14.99,5.512,1.000,91.00,1146.7,On,10/14/2022,0.00,3,18.31,26.90,3.752,1729.1,14177,13705,253.16,244.74,6.830,10/14/2022
-93.53621720,44.07697670,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,437,14.99,5.479,1.000,90.00,1146.7,On,10/14/2022,0.00,3,18.35,27.19,3.758,1747.9,14417,13931,257.45,248.77,6.789,10/14/2022
-93.53619610,44.07697650,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,438,14.99,5.545,1.000,91.00,1146.7,On,10/14/2022,0.00,3,18.40,27.76,3.764,1784.8,14548,14049,259.78,250.87,6.870,10/14/2022
-93.53617510,44.07697650,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,439,14.99,5.512,1.000,90.00,1146.9,On,10/14/2022,0.00,3,18.47,28.36,3.754,1823.1,14948,14423,266.93,257.56,6.830,10/14/2022
-93.53615400,44.07697640,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,440,14.99,5.545,1.000,90.00,1147.0,On,10/14/2022,0.00,3,18.61,28.89,3.754,1857.4,15139,14582,270.34,260.39,6.870,10/14/2022
-93.53613290,44.07697610,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,441,14.99,5.545,1.000,91.00,1147.0,On,10/14/2022,0.00,3,18.73,29.23,3.740,1878.9,15314,14729,273.47,263.02,6.870,10/14/2022
-93.53611180,44.07697560,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,442,14.99,5.545,1.000,92.00,1147.0,On,10/14/2022,0.00,3,18.83,29.04,3.756,1866.8,15216,14616,271.71,261.00,6.870,10/14/2022
-93.53609080,44.07697540,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,443,14.99,5.512,1.000,92.00,1147.0,On,10/14/2022,0.00,3,18.91,28.41,3.754,1826.5,14976,14372,267.43,256.64,6.830,10/14/2022
-93.53606960,44.07697500,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,444,14.99,5.577,1.000,92.00,1147.0,On,10/14/2022,0.00,3,18.95,27.67,3.746,1778.8,14413,13824,257.38,246.86,6.911,10/14/2022
-93.53604850,44.07697500,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,445,14.99,5.545,1.000,91.00,1147.0,On,10/14/2022,0.00,3,18.96,27.15,3.746,1745.2,14225,13642,254.01,243.61,6.870,10/14/2022
-93.53602750,44.07697500,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,446,14.99,5.512,1.000,90.00,1147.0,On,10/14/2022,0.00,3,18.96,26.99,3.742,1735.1,14227,13644,254.05,243.65,6.830,10/14/2022
-93.53600660,44.07697480,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,447,14.99,5.479,1.000,91.00,1147.3,On,10/14/2022,0.00,3,18.97,27.11,3.760,1742.5,14373,13782,256.66,246.11,6.789,10/14/2022
-93.53598560,44.07697460,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,448,14.99,5.512,1.000,91.00,1147.3,On,10/14/2022,0.00,3,19.02,27.20,3.760,1748.5,14337,13740,256.02,245.35,6.830,10/14/2022
-93.53596460,44.07697430,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,449,14.99,5.512,1.000,91.00,1147.3,On,10/14/2022,0.00,3,19.07,27.16,3.740,1745.9,14315,13710,255.62,244.82,6.830,10/14/2022
-93.53594380,44.07697380,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,450,14.99,5.479,1.000,92.00,1147.5,On,10/14/2022,0.00,3,19.12,27.18,3.762,1747.2,14412,13795,257.35,246.33,6.789,10/14/2022
-93.53592280,44.07697340,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,451,14.99,5.512,1.000,92.00,1147.6,On,10/14/2022,0.00,3,19.15,27.60,3.740,1774.1,14546,13919,259.75,248.55,6.830,10/14/2022
-93.53590180,44.07697290,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,452,14.99,5.512,1.000,92.00,1147.6,On,10/14/2022,0.00,3,19.16,28.20,3.750,1813.0,14866,14221,265.46,253.95,6.830,10/14/2022
-93.53588080,44.07697250,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,453,14.99,5.512,1.000,91.00,1147.6,On,10/14/2022,0.00,3,19.19,28.54,3.770,1834.5,15042,14386,268.61,256.89,6.830,10/14/2022
-93.53585970,44.07697210,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,454,14.99,5.512,1.000,91.00,1147.6,On,10/14/2022,0.00,3,19.20,28.35,3.762,1822.4,14943,14289,266.84,255.15,6.830,10/14/2022
-93.53583870,44.07697180,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,455,14.99,5.512,1.000,91.00,1147.9,On,10/14/2022,0.00,3,19.20,27.78,3.770,1786.2,14645,14004,261.52,250.07,6.830,10/14/2022
-93.53581770,44.07697160,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,456,14.99,5.512,1.000,91.00,1148.0,On,10/14/2022,0.00,3,19.20,27.25,3.768,1751.9,14364,13736,256.51,245.28,6.830,10/14/2022
-93.53579670,44.07697130,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,457,14.99,5.512,1.000,91.00,1148.0,On,10/14/2022,0.00,3,19.20,26.99,3.774,1735.1,14227,13604,254.05,242.93,6.830,10/14/2022
-93.53577580,44.07697110,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,458,14.99,5.479,1.000,91.00,1148.0,On,10/14/2022,0.00,3,19.22,26.98,3.756,1734.4,14306,13677,255.47,244.23,6.789,10/14/2022
-93.53575500,44.07697100,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,459,14.99,5.479,1.000,91.00,1148.2,On,10/14/2022,0.00,3,19.27,26.84,3.786,1725.7,14234,13599,254.19,242.85,6.789,10/14/2022
-93.53573400,44.07697070,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,460,14.99,5.512,1.000,91.00,1148.3,On,10/14/2022,0.00,3,19.32,26.59,3.782,1709.6,14017,13384,250.31,239.01,6.830,10/14/2022
-93.53571310,44.07697060,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,461,14.99,5.479,1.000,90.00,1148.3,On,10/14/2022,0.00,3,19.41,26.29,3.772,1690.1,13941,13296,248.94,237.42,6.789,10/14/2022
-93.53569220,44.07697060,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,462,14.99,5.479,1.000,91.00,1148.3,On,10/14/2022,0.00,3,19.50,26.18,3.776,1682.7,13880,13223,247.85,236.13,6.789,10/14/2022
-93.53567120,44.07697040,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,463,14.99,5.512,1.000,91.00,1148.4,On,10/14/2022,0.00,3,19.57,26.41,3.790,1697.5,13918,13248,248.54,236.57,6.830,10/14/2022
-93.53565030,44.07697050,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,464,14.99,5.479,1.000,90.00,1148.6,On,10/14/2022,0.00,3,19.65,27.00,3.768,1735.8,14318,13614,255.67,243.11,6.789,10/14/2022
-93.53562940,44.07697040,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,465,14.99,5.479,1.000,90.00,1148.6,On,10/14/2022,0.00,3,19.70,27.48,3.792,1766.7,14572,13848,260.22,247.29,6.789,10/14/2022
-93.53560820,44.07697030,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,466,14.99,5.545,1.000,90.00,1148.6,On,10/14/2022,0.00,3,19.72,27.49,3.786,1767.4,14405,13686,257.24,244.39,6.870,10/14/2022
-93.53558700,44.07697040,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,467,14.99,5.545,1.000,90.00,1148.6,On,10/14/2022,0.00,3,19.72,27.18,3.770,1747.2,14241,13530,254.31,241.61,6.870,10/14/2022
-93.53556610,44.07697040,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,468,14.99,5.512,1.000,91.00,1148.8,On,10/14/2022,0.00,3,19.72,26.75,3.780,1719.7,14100,13396,251.79,239.21,6.830,10/14/2022
-93.53554500,44.07697020,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,469,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.72,26.41,3.794,1697.5,13836,13144,247.07,234.72,6.870,10/14/2022
-93.53552390,44.07697000,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,470,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.74,26.36,3.772,1694.8,13814,13122,246.68,234.31,6.870,10/14/2022
-93.53550280,44.07696980,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,471,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.73,26.66,3.764,1713.6,13967,13269,249.42,236.94,6.870,10/14/2022
-93.53548160,44.07696960,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,472,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.68,27.14,3.784,1744.5,14219,13516,253.92,241.35,6.870,10/14/2022
-93.53546050,44.07696940,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,473,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.65,27.52,3.752,1769.4,14422,13713,257.53,244.87,6.870,10/14/2022
-93.53543930,44.07696920,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,474,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,19.66,27.37,3.784,1759.3,14340,13633,256.07,243.45,6.870,10/14/2022
-93.53541820,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,475,14.99,5.545,1.000,90.00,1149.0,On,10/14/2022,0.00,3,19.69,26.51,3.800,1704.2,13891,13203,248.05,235.76,6.870,10/14/2022
-93.53539700,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,476,14.99,5.577,1.000,90.00,1149.1,On,10/14/2022,0.00,3,19.72,25.44,3.804,1635.7,13254,12593,236.68,224.87,6.911,10/14/2022
-93.53537590,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,477,14.99,5.545,1.000,90.00,1149.3,On,10/14/2022,0.00,3,19.81,24.75,3.766,1591.4,12971,12309,231.62,219.81,6.870,10/14/2022
-93.53535480,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,478,14.99,5.512,1.000,90.00,1149.3,On,10/14/2022,0.00,3,19.88,24.74,3.788,1590.7,13043,12367,232.90,220.83,6.830,10/14/2022
-93.53533340,44.07696910,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,479,14.99,5.610,1.000,90.00,1149.3,On,10/14/2022,0.00,3,19.91,25.16,3.790,1617.6,13030,12350,232.68,220.54,6.952,10/14/2022
-93.53531230,44.07696900,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,480,14.99,5.545,1.000,91.00,1149.3,On,10/14/2022,0.00,3,19.91,25.91,3.770,1665.9,13579,12870,242.48,229.82,6.870,10/14/2022
-93.53529120,44.07696880,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,481,14.99,5.512,1.000,91.00,1149.3,On,10/14/2022,0.00,3,19.92,26.80,3.792,1723.0,14128,13389,252.28,239.10,6.830,10/14/2022
-93.53527000,44.07696880,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,482,14.99,5.577,1.000,91.00,1149.3,On,10/14/2022,0.00,3,19.97,27.54,3.812,1770.7,14348,13590,256.21,242.67,6.911,10/14/2022
-93.53524880,44.07696900,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,483,14.99,5.577,1.000,89.00,1149.3,On,10/14/2022,0.00,3,20.02,28.10,3.782,1806.3,14636,13853,261.36,247.38,6.911,10/14/2022
-93.53522760,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,484,14.99,5.545,1.000,90.00,1149.3,On,10/14/2022,0.00,3,20.08,28.42,3.780,1827.1,14893,14085,265.94,251.52,6.870,10/14/2022
-93.53520640,44.07696950,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,485,14.99,5.577,1.000,90.00,1149.3,On,10/14/2022,0.00,3,20.17,28.62,3.794,1839.9,14909,14084,266.22,251.50,6.911,10/14/2022
-93.53518510,44.07696970,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,486,14.99,5.577,1.000,90.00,1149.3,On,10/14/2022,0.00,3,20.23,28.51,3.780,1832.5,14849,14018,265.15,250.32,6.911,10/14/2022
-93.53516410,44.07696970,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,487,14.99,5.512,1.000,91.00,1149.3,On,10/14/2022,0.00,3,20.22,28.12,3.768,1807.7,14822,13994,264.67,249.89,6.830,10/14/2022
-93.53514290,44.07696970,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,488,14.99,5.545,1.000,91.00,1149.3,On,10/14/2022,0.00,3,20.17,27.59,3.788,1773.4,14455,13656,258.12,243.85,6.870,10/14/2022
-93.53512170,44.07696960,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,489,14.99,5.577,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.13,27.22,3.790,1749.9,14179,13402,253.20,239.32,6.911,10/14/2022
-93.53510040,44.07696940,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,490,14.99,5.577,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.16,27.17,3.768,1746.5,14152,13372,252.71,238.78,6.911,10/14/2022
-93.53507920,44.07696930,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,491,14.99,5.577,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.19,27.20,3.792,1748.5,14168,13382,253.00,238.96,6.911,10/14/2022
-93.53505780,44.07696900,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,492,14.99,5.577,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.19,27.11,3.788,1742.5,14119,13335,252.13,238.12,6.911,10/14/2022
-93.53503690,44.07696920,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,493,14.99,5.512,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.17,27.05,3.782,1739.1,14260,13472,254.64,240.57,6.830,10/14/2022
-93.53501570,44.07696910,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,494,14.99,5.545,1.000,91.00,1149.0,On,10/14/2022,0.00,3,20.15,27.30,3.786,1755.3,14307,13520,255.48,241.42,6.870,10/14/2022
-93.53499460,44.07696890,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,495,14.99,5.545,1.000,91.00,1148.8,On,10/14/2022,0.00,3,20.15,27.68,3.772,1779.4,14504,13706,259.00,244.75,6.870,10/14/2022
-93.53497340,44.07696880,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,496,14.99,5.577,1.000,91.00,1148.7,On,10/14/2022,0.00,3,20.15,27.96,3.768,1797.6,14566,13764,260.10,245.79,6.911,10/14/2022
-93.53495220,44.07696890,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,497,14.99,5.545,1.000,91.00,1148.6,On,10/14/2022,0.00,3,20.14,27.92,3.778,1794.9,14630,13826,261.25,246.90,6.870,10/14/2022
-93.53493090,44.07696880,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,498,14.99,5.577,1.000,91.00,1148.6,On,10/14/2022,0.00,3,20.05,27.86,3.796,1790.9,14511,13729,259.13,245.17,6.911,10/14/2022
-93.53490970,44.07696850,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,499,14.99,5.577,1.000,92.00,1148.6,On,10/14/2022,0.00,3,19.96,27.82,3.760,1788.2,14489,13725,258.74,245.10,6.911,10/14/2022
-93.53488850,44.07696830,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,500,14.99,5.577,1.000,92.00,1148.6,On,10/14/2022,0.00,3,19.91,27.54,3.766,1770.7,14348,13599,256.21,242.83,6.911,10/14/2022
-93.53486720,44.07696820,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,501,14.99,5.577,1.000,91.00,1148.6,On,10/14/2022,0.00,3,19.91,26.91,3.772,1729.7,14016,13284,250.28,237.22,6.911,10/14/2022
-93.53484610,44.07696790,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,502,14.99,5.545,1.000,92.00,1148.6,On,10/14/2022,0.00,3,19.92,26.26,3.770,1688.1,13759,13040,245.70,232.85,6.870,10/14/2022
-93.53482510,44.07696780,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,503,14.99,5.545,1.000,92.00,1148.6,On,10/14/2022,0.00,3,19.96,25.91,3.760,1665.9,13579,12863,242.48,229.69,6.870,10/14/2022
-93.53480390,44.07696790,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,504,14.99,5.545,1.000,90.00,1148.6,On,10/14/2022,0.00,3,19.98,25.98,3.768,1670.0,13612,12891,243.06,230.19,6.870,10/14/2022
-93.53478270,44.07696760,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,505,14.99,5.577,1.000,92.00,1148.5,On,10/14/2022,0.00,3,19.99,26.32,3.760,1692.1,13711,12983,244.84,231.84,6.911,10/14/2022
-93.53476170,44.07696740,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,506,14.99,5.545,1.000,92.00,1148.3,On,10/14/2022,0.00,3,20.01,27.02,3.766,1737.1,14159,13404,252.84,239.35,6.870,10/14/2022
-93.53474050,44.07696730,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,507,14.99,5.545,1.000,91.00,1148.3,On,10/14/2022,0.00,3,20.02,27.96,3.774,1797.6,14652,13868,261.64,247.65,6.870,10/14/2022
-93.53471930,44.07696730,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,508,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.04,28.47,3.764,1830.5,14920,14118,266.43,252.10,6.870,10/14/2022
-93.53469820,44.07696740,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,509,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.07,28.43,3.776,1827.8,14898,14093,266.04,251.66,6.870,10/14/2022
-93.53467700,44.07696750,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,510,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.08,28.11,3.756,1807.0,14728,13931,263.01,248.77,6.870,10/14/2022
-93.53465590,44.07696720,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,511,14.99,5.512,1.000,91.00,1148.3,On,10/14/2022,0.00,3,20.09,27.96,3.772,1797.6,14739,13938,263.20,248.90,6.830,10/14/2022
-93.53463490,44.07696710,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,512,14.99,5.512,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.10,28.18,3.776,1811.7,14855,14047,265.26,250.83,6.830,10/14/2022
-93.53461380,44.07696720,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,513,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.13,28.57,3.772,1836.5,14969,14150,267.31,252.68,6.870,10/14/2022
-93.53459270,44.07696710,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,514,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.22,28.86,3.762,1855.4,15123,14278,270.05,254.96,6.870,10/14/2022
-93.53457150,44.07696710,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,515,14.99,5.545,1.000,90.00,1148.3,On,10/14/2022,0.00,3,20.29,28.98,3.766,1862.7,15183,14322,271.12,255.75,6.870,10/14/2022
-93.53455040,44.07696700,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,516,14.99,5.545,1.000,91.00,1148.2,On,10/14/2022,0.00,3,20.29,28.92,3.754,1859.4,15156,14296,270.63,255.29,6.870,10/14/2022
-93.53452930,44.07696670,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,517,14.99,5.545,1.000,92.00,1148.0,On,10/14/2022,0.00,3,20.23,28.74,3.762,1847.3,15057,14214,268.87,253.82,6.870,10/14/2022
-93.53450810,44.07696620,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,518,14.99,5.577,1.000,93.00,1148.0,On,10/14/2022,0.00,3,20.18,28.47,3.758,1830.5,14832,14011,264.86,250.19,6.911,10/14/2022
-93.53448690,44.07696590,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,519,14.99,5.545,1.000,92.00,1148.0,On,10/14/2022,0.00,3,20.13,28.36,3.760,1823.1,14860,14045,265.35,250.81,6.870,10/14/2022
-93.53446570,44.07696570,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,520,14.99,5.545,1.000,91.00,1148.0,On,10/14/2022,0.00,3,20.11,28.59,3.764,1837.9,14980,14163,267.51,252.92,6.870,10/14/2022
-93.53444450,44.07696590,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,521,14.99,5.577,1.000,90.00,1148.0,On,10/14/2022,0.00,3,20.08,29.08,3.742,1869.5,15148,14327,270.50,255.84,6.911,10/14/2022
-93.53442330,44.07696590,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,522,14.99,5.545,1.000,90.00,1148.0,On,10/14/2022,0.00,3,20.03,29.48,3.758,1895.0,15446,14617,275.82,261.02,6.870,10/14/2022
-93.53440210,44.07696600,127-134| 227-234,harvest_1_Corn_2022_10_14_001,CORN,523,14.99,5.545,1.000,90.00,1148.0,On,10/14/2022,0.00,3,20.01,29.35,3.792,1886.9,15380,14560,274.64,259.99,6.870,10/14/2022
